0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 6 11 2 4 3 3 6 4 3 3 3 5 4 4 4 11 3 3 3 7 4 3 3 4 3 7 5 4 4 2 6
0 2 2 1 1 2 1 3 3 0 2 0 1 0 1 1 0 0 2 1 1 1 3 0 1 4 8 1 1 0 0 0 2 1 0 0 4 0 0 1 8 0 0 1 2 0 1 0 3 1 2 3 0 1 0 3
0 1 2 1 1 1 3 3 2 0 1 0 0 0 0 3 0 0 1 0 2 0 0 2 0 3 1 0 2 2 1 0 3 2 0 0 1 0 1 1 1 0 0 0 6 3 0 0 1 2 0 4 3 1 1 1
3 2 0 3 3 2 3 2 2 1 1 1 1 2 2 1 1 0 2 2 0 2 1 2 1 5 6 1 1 1 2 3 1 1 0 1 3 1 1 0 6 0 0 1 0 0 2 0 3 2 5 3 2 3 1 5
0 2 3 0 0 1 1 1 0 1 2 2 2 1 2 2 0 0 0 0 2 0 2 1 1 2 6 1 2 2 0 3 1 1 1 1 3 2 3 1 6 0 0 1 2 0 2 0 1 2 5 3 2 0 0 2
0 0 2 0 0 2 3 2 0 0 2 1 0 1 1 0 0 0 0 1 1 1 2 1 0 5 1 0 1 0 0 0 1 0 2 2 1 1 2 2 1 1 1 1 2 3 1 1 3 0 3 4 0 3 1 1
0 2 2 1 1 3 0 1 0 1 1 1 0 2 2 1 2 0 1 2 0 2 3 2 2 2 9 1 0 0 0 1 1 0 2 2 3 1 2 2 9 0 0 2 1 1 2 0 3 0 5 3 1 0 1 0
0 3 2 2 2 1 2 1 1 2 1 1 2 1 2 3 0 1 1 0 0 2 2 2 1 1 0 0 2 1 2 0 1 0 2 2 0 1 3 3 0 2 2 2 5 2 1 0 1 1 5 3 3 1 0 4
0 2 3 2 2 2 2 2 2 1 1 1 1 1 2 0 2 1 2 2 1 1 2 1 1 5 9 1 0 0 0 1 2 0 2 2 3 0 2 2 9 2 2 2 1 2 2 2 3 0 3 3 3 0 1 4
2 1 1 2 2 2 3 3 3 2 1 2 2 2 2 0 1 1 0 1 1 1 1 0 1 5 2 1 0 0 0 1 1 0 0 0 0 3 2 0 2 1 1 1 3 1 2 1 1 2 6 2 0 2 0 2
